marker	set
TIGR00064.HMM	gtdb_rel207_ar53
TIGR00111.HMM	gtdb_rel207_ar53
TIGR00134.HMM	gtdb_rel207_ar53
TIGR00279.HMM	gtdb_rel207_ar53
TIGR00291.HMM	gtdb_rel207_ar53
TIGR00323.HMM	gtdb_rel207_ar53
TIGR00335.HMM	gtdb_rel207_ar53
TIGR00373.HMM	gtdb_rel207_ar53
TIGR00405.HMM	gtdb_rel207_ar53
TIGR00448.HMM	gtdb_rel207_ar53
TIGR00483.HMM	gtdb_rel207_ar53
TIGR00491.HMM	gtdb_rel207_ar53
TIGR00522.HMM	gtdb_rel207_ar53
TIGR00967.HMM	gtdb_rel207_ar53
TIGR00982.HMM	gtdb_rel207_ar53
TIGR01008.HMM	gtdb_rel207_ar53
TIGR01012.HMM	gtdb_rel207_ar53
TIGR01018.HMM	gtdb_rel207_ar53
TIGR01020.HMM	gtdb_rel207_ar53
TIGR01028.HMM	gtdb_rel207_ar53
TIGR01046.HMM	gtdb_rel207_ar53
TIGR01052.HMM	gtdb_rel207_ar53
TIGR01171.HMM	gtdb_rel207_ar53
TIGR01213.HMM	gtdb_rel207_ar53
TIGR01952.HMM	gtdb_rel207_ar53
TIGR02236.HMM	gtdb_rel207_ar53
TIGR02338.HMM	gtdb_rel207_ar53
TIGR02389.HMM	gtdb_rel207_ar53
TIGR02390.HMM	gtdb_rel207_ar53
TIGR03626.HMM	gtdb_rel207_ar53
TIGR03627.HMM	gtdb_rel207_ar53
TIGR03628.HMM	gtdb_rel207_ar53
TIGR03629.HMM	gtdb_rel207_ar53
TIGR03670.HMM	gtdb_rel207_ar53
TIGR03671.HMM	gtdb_rel207_ar53
TIGR03672.HMM	gtdb_rel207_ar53
TIGR03673.HMM	gtdb_rel207_ar53
TIGR03674.HMM	gtdb_rel207_ar53
TIGR03676.HMM	gtdb_rel207_ar53
TIGR03680.HMM	gtdb_rel207_ar53
